file,prediction,x_peak,x_low,z_peak,z_low
left_1.csv,LEFT,22.97332735360218,-32.43994593939583,31.797807293480368,-0.9444479241705062
left_10.csv,RIGHT,47.69337378624266,-45.74846060259371,69.98776365661006,-2.2628287591228107
left_2.csv,LEFT,33.75201721879698,-43.07349564234831,42.563163761019034,-8.029769215943837
left_3.csv,LEFT,29.053244502023027,-37.231273840842455,44.289616549289484,-5.355252640850261
left_4.csv,LEFT,20.720616569830383,-32.196969620249035,28.63848620820042,-1.7955770757603928
left_5.csv,LEFT,30.10788292235264,-33.817070228612224,36.40335960096449,-0.6943238364621942
left_6.csv,RIGHT,42.574508045956534,-38.31748808883079,61.44334245927908,-3.1797733243927366
left_7.csv,LEFT,19.877727382566952,-28.721278341943368,31.13819459421556,-1.5393685302060207
left_8.csv,RIGHT,36.69180215376798,-33.50654017636468,56.2394417936122,-2.675004144452909
left_9.csv,RIGHT,39.195752928944515,-38.48421834709582,59.24755936302482,-1.8179626519891254
right_1.csv,RIGHT,32.35165872836321,-19.504510169319232,46.43819103327156,-0.8153147131635494
right_10.csv,RIGHT,36.6102899242986,-28.770331984409385,59.075836416375,-1.9055207516741013
right_2.csv,RIGHT,30.24096416568267,-24.42149468433159,33.45010878307071,-2.122639269
right_3.csv,RIGHT,26.757915478145673,-22.32171827067689,30.64301231819065,-1.044676997
right_4.csv,UP,19.4701786791234,-12.051815323450114,19.30313512631189,-1.645587164
right_5.csv,UP,17.77918488558786,-17.6342492282226,25.947236552118532,-1.1243000764649353
right_6.csv,RIGHT,25.20221383881944,-19.50291108683943,12.043013047526417,-1.5409631819424756
right_7.csv,UP,17.937321924577724,-17.642125223343708,9.910679162015802,-2.599325286869703
right_8.csv,RIGHT,25.72857475896666,-21.763228077786707,15.483022050826394,-1.8666728966605017
right_9.csv,RIGHT,37.08161017816012,-25.621396845005428,59.2132949912551,-1.2412190323818757
up_1.csv,UP,9.880037075568408,-3.509718382637977,11.530790326531982,-5.473611143534038
up_10.csv,UP,6.360873356352485,-1.7868276209714815,8.744472162450933,-2.215327303934983
up_2.csv,UP,4.360291638498076,-2.111811103,13.978942928931254,-2.770548341903451
up_3.csv,UP,4.0050609600207645,-3.560574014911353,7.880613920230518,-2.624174928574701
up_4.csv,UP,7.507240402536552,-2.568380671962828,10.604514655712691,-2.902116723490608
up_5.csv,UP,4.655680014865678,-2.1476918581966187,9.718314956232337,-2.2166225445144585
up_6.csv,UP,13.397468902493573,-4.167142944587392,17.32160921517621,-9.43035996899463
up_7.csv,UP,2.8880115436154323,-2.52585402005964,9.728951757649199,-2.1115972754881005
up_8.csv,UP,8.188753008675192,-3.11442343262551,11.564849672286226,-2.223003536649009
up_9.csv,UP,2.3423784129646785,-1.7244149975635779,7.193102630853389,-3.608147904708049
